packetid|interface|reltime|abstime|ipsrc|ipdst|ipsrc_host|ipdst_host|tcpstream|sport|dport|rwnd|tcpflags|tcpoptions|tcpseq|tcplen|tcpack|tcptsval|tcptsecr|expected_token|mptcpstream|sendkey|recvkey|recvtok|datafin|mptcpversion|subtype|dss_dsn|dss_rawack|dss_ssn|dss_length|addrid|dsnraw64|dack|dsn|related_mappings|reinjection_of|reinjected_in
1|any|5.027079189|1529916720.784525962|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908363209|2684354561|4093186044|0|17227928701987094984||||0|0||||||10857181338791980296||0|||
2|any|5.211195538|1529916720.968642311|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28560|0x00000012|2,4,8,1,3,30|0|0|1|908363485|2518975944|2846245513|0|10048458395084872514||||0|0||||||296251885087394966||0|||
3|any|5.248529320|1529916721.005976093|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30,30|1|0|1|908363616|129|4093186044|0|17227928701987094984|10048458395084872514||0|0|0,2||380406935||||10857181338791980297|1|1|||
4|any|5.250909167|1529916721.008355940|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30,30|1|0|1|908363618|129||0||||0||3,2||380406935|||3|10857181338791980297|1|1|||
5|any|5.265172887|1529916721.022619660|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|1|37|1|908363634|129||0||||0||2|1622289673|380406935|1|37||10857181338791980297|1|1|5||
6|any|5.385949759|1529916721.143396532|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30,30|1|0|1|908363690|71||0||||0||3,2||1622289673|||3|296251885087394967|1|1|||
7|any|5.454241779|1529916721.211688552|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|1|0|38|908363760|80||0||||0||2||1622289710||||296251885087394967|38|1|||
8|any|5.509625101|1529916721.267071874|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|1|1|38|908363817|80||0||||0||2|380406935|1622289710|1|1||296251885087394967|38|1|8||
9|any|5.529161050|1529916721.286607823|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30|38|0|2|908363898|74||0||||0||2||380406936||||10857181338791980334|2|38|||
10|any|5.567466588|1529916721.324913361|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|38|4|2|908363936|74||0||||0||2|1622289710|380406936|38|4||10857181338791980334|2|38|10||
11|any|5.681895631|1529916721.439342404|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|2|0|42|908363999|63||0||||0||2||1622289714||||296251885087394968|42|2|||
12|any|5.692155514|1529916721.449602287|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|42|113|2|908364063|74||0||||0||2|1622289714|380406936|42|113||10857181338791980338|2|42|12||
