frame.number|frame.interface_name|frame.time_epoch|_ws.col.ipsrc|_ws.col.ipdst|ip.src_host|ip.dst_host|tcp.stream|tcp.srcport|tcp.dstport|tcp.window_size|tcp.flags|tcp.option_kind|tcp.seq|tcp.len|tcp.ack|tcp.options.timestamp.tsval|tcp.options.timestamp.tsecr|mptcp.expected_token|mptcp.stream|tcp.options.mptcp.sendkey|tcp.options.mptcp.recvkey|tcp.options.mptcp.recvtok|tcp.options.mptcp.datafin.flag|tcp.options.mptcp.version|tcp.options.mptcp.subtype|tcp.options.mptcp.rawdataseqno|tcp.options.mptcp.rawdataack|tcp.options.mptcp.subflowseqno|tcp.options.mptcp.datalvllen|tcp.options.mptcp.addrid|mptcp.rawdsn64|mptcp.ack|mptcp.dsn|mptcp.related_mapping|mptcp.reinjection_of|mptcp.reinjected_in
1|any|1529916720.856525165|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|908363209|2684354561|4093186044|0|17227928701987094984||||0|0||||||10857181338791980296||0|||
2|any|1529916720.874825506|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28560|0x00000012|2,4,8,1,3,30|0|0|1|908363485|2518975944|2846245513|0|10048458395084872514||||0|0||||||296251885087394966||0|||
3|any|1529916721.056124643|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30,30|1|0|1|908363616|129|4093186044|0|17227928701987094984|10048458395084872514||0|0|0,2||380406935||||10857181338791980297|1|1|||
4|any|1529916721.069050095|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30,30|1|0|1|908363618|129||0||||0||3,2||380406935|||3|10857181338791980297|1|1|||
5|any|1529916721.090159670|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30,30|1|0|1|908363690|71||0||||0||3,2||1622289673|||3|296251885087394967|1|1|||
6|any|1529916721.090158983|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|1|37|1|908363634|129||0||||0||2|1622289673|380406935|1|37||10857181338791980297|1|1|6||
7|any|1529916721.161607077|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|1|0|38|908363760|80||0||||0||2||1622289710||||296251885087394967|38|1|||
8|any|1529916721.216842036|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|1|1|38|908363817|80||0||||0||2|380406935|1622289710|1|1||296251885087394967|38|1|8||
9|any|1529916721.336784959|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30|38|0|2|908363898|74||0||||0||2||380406936||||10857181338791980334|2|38|||
10|any|1529916721.375462977|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|38|4|2|908363936|74||0||||0||2|1622289710|380406936|38|4||10857181338791980334|2|38|10||
11|any|1529916721.385721103|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|2|0|42|908363999|63||0||||0||2||1622289714||||296251885087394968|42|2|||
