packetid|interface|reltime|abstime|ipsrc|ipdst|ipsrc_host|ipdst_host|tcpstream|sport|dport|rwnd|tcpflags|tcpoptions|tcpseq|tcplen|tcpack|expected_token|mptcpstream|recvtok
1|any|5.027079189|1529916720.784525962|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|4093186044|0|
2|any|5.211195538|1529916720.968642311|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28560|0x00000012|2,4,8,1,3,30|0|0|1|2846245513|0|
3|any|5.248529320|1529916721.005976093|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30,30|1|0|1|4093186044|0|
4|any|5.250909167|1529916721.008355940|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30,30|1|0|1||0|
5|any|5.265172887|1529916721.022619660|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|1|37|1||0|
6|any|5.385949759|1529916721.143396532|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30,30|1|0|1||0|
7|any|5.454241779|1529916721.211688552|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|1|0|38||0|
8|any|5.509625101|1529916721.267071874|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|1|1|38||0|
9|any|5.529161050|1529916721.286607823|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30|38|0|2||0|
10|any|5.567466588|1529916721.324913361|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|38|4|2||0|
11|any|5.681895631|1529916721.439342404|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|2|0|42||0|
12|any|5.692155514|1529916721.449602287|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|42|113|2||0|
13|any|5.818497738|1529916721.575944511|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|2|0|155||0|
14|any|5.835115527|1529916721.592562300|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|2|1|155||0|
15|any|5.845824830|1529916721.603271603|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30|155|0|3||0|
16|any|5.847104915|1529916721.604551688|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|3188734930|1|
17|any|6.044417318|1529916721.801864091|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0||0|2846245513
18|any|6.151437972|1529916721.908884745|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28560|0x00000012|2,4,8,1,3,30|0|0|1|1015310287|1|
19|any|6.189422456|1529916721.946869229|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000010|1,1,8,30,30|1|0|1|3188734930|1|
20|any|6.189672868|1529916721.947119641|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000010|1,1,8,30,30|1|0|1||1|
21|any|6.231201600|1529916721.988648373|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000018|1,1,8,30,1,1|1|37|1||1|
