packetid|interface|reltime|abstime|ipsrc|ipdst|ipsrc_host|ipdst_host|tcpstream|sport|dport|rwnd|tcpflags|tcpoptions|tcpseq|tcplen|tcpack|tsval|tsecr|expected_token|mptcpstream|sendkey|recvkey|recvtok|datafin|mptcpversion|dack|dsn
1|any|5.027079189|1529916720.78453|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|2684354561|2684354561|4093186044|0|1.72279287019871E+019||||0||0
2|any|5.211195538|1529916720.96864|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28560|0x00000012|2,4,8,1,3,30|0|0|1|2518975944|2518975944|2846245513|0|1.00484583950849E+019||||0||0
3|any|5.24852932|1529916721.00598|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30,30|1|0|1|129|129|4093186044|0|1.72279287019871E+019|1.00484583950849E+019||0|0|1|1
4|any|5.250909167|1529916721.00836|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30,30|1|0|1|129|129||0||||0||1|1
5|any|5.265172887|1529916721.02262|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|1|37|1|129|129||0||||0||1|1
6|any|5.385949759|1529916721.1434|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30,30|1|0|1|71|71||0||||0||1|1
7|any|5.454241779|1529916721.21169|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|1|0|38|80|80||0||||0||38|1
8|any|5.509625101|1529916721.26707|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|1|1|38|80|80||0||||0||38|1
9|any|5.52916105|1529916721.28661|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30|38|0|2|74|74||0||||0||2|38
10|any|5.567466588|1529916721.32491|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|38|4|2|74|74||0||||0||2|38
11|any|5.681895631|1529916721.43934|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|2|0|42|63|63||0||||0||42|2
12|any|5.692155514|1529916721.4496|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000018|1,1,8,30,1,1|42|113|2|74|74||0||||0||2|42
13|any|5.818497738|1529916721.57594|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000010|1,1,8,30|2|0|155|60|60||0||||0||155|2
14|any|5.835115527|1529916721.59256|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|0|5201|33782|28672|0x00000018|1,1,8,30,1,1|2|1|155|60|60||0||||0||155|2
15|any|5.84582483|1529916721.60327|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|0|33782|5201|29696|0x00000010|1,1,8,30|155|0|3|63|63||0||||0||3|155
16|any|5.847104915|1529916721.60455|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|2684354561|2684354561|3188734930|1|2.70819141042685E+018||||0||0
17|any|6.044417318|1529916721.80186|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|2684354561|2684354561||0|||2846245513||||0
18|any|6.151437972|1529916721.90888|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28560|0x00000012|2,4,8,1,3,30|0|0|1|2518976955|2518976955|1015310287|1|1.4803550490013E+019||||0||0
19|any|6.189422456|1529916721.94687|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000010|1,1,8,30,30|1|0|1|133|133|3188734930|1|2.70819141042685E+018|1.4803550490013E+019||0|0|1|1
20|any|6.189672868|1529916721.94712|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000010|1,1,8,30,30|1|0|1|133|133||1||||0||1|1
21|any|6.2312016|1529916721.98865|10.0.0.1|10.0.0.2|10.0.0.1|10.0.0.2|1|33784|5201|29696|0x00000018|1,1,8,30,1,1|1|37|1|133|133||1||||0||1|1
22|any|6.235584666|1529916721.99303|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|2|5201|54595|28560|0x00000012|2,4,8,1,3,30|0|0|1|2518976601|2518976601||0|||||||0
23|any|6.288878495|1529916722.04633|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|2|54595|5201|58880|0x00000010|1,1,8,30|1|0|1|110|110||0|||||||1
24|any|6.339262225|1529916722.09671|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28672|0x00000010|1,1,8,30,30|1|0|1|90|90||1||||0||1|1
25|any|6.366549309|1529916722.124|10.0.0.2|10.0.0.1|10.0.0.2|10.0.0.1|1|5201|33784|28672|0x00000010|1,1,8,30|1|0|38|70|70||1||||0||38|1
26|any|6.37672338|1529916722.13417|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|2684354561|2684354561||1|||1015310287||||0
27|any|6.49602092|1529916722.25347|11.0.0.2|10.0.0.1|11.0.0.2|10.0.0.1|3|5201|57491|28560|0x00000012|2,4,8,1,3,30|0|0|1|2518977485|2518977485||1|||||||0
28|any|6.506073438|1529916722.26352|10.0.0.1|11.0.0.2|10.0.0.1|11.0.0.2|3|57491|5201|58880|0x00000010|1,1,8,30|1|0|1|64|64||1|||||||1
29|any|6.612738406|1529916722.37019|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|2684354561|2684354561||0|||2846245513||||0
30|any|6.612740544|1529916722.37019|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|29696|0x00000010|30|0|0|1||||0||||0||2|
31|any|6.612741485|1529916722.37019|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|4|59555|5201|29696|0x00000010|30|0|0|1||||0||||0||3|
32|any|6.612742283|1529916722.37019|11.0.0.1|11.0.0.2|11.0.0.1|11.0.0.2|5|50077|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|2684354561|2684354561||1|||1015310287||||0
33|any|6.613851976|1529916722.3713|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|6|35589|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|2684354561|2684354561||0|||2846245513||||0
34|any|6.613853956|1529916722.3713|11.0.0.1|10.0.0.2|11.0.0.1|10.0.0.2|7|50007|5201|29200|0x00000002|2,4,8,1,3,30|0|0|0|2684354561|2684354561||1|||1015310287||||0
